Nome do modelo,H(m),Inclinação(graus),Coesao(kPa),Ângulo de atrito(graus),Peso específico (kN/m³),Fator de Segurança
modelo_n_0245.hjs,26.849,23.5075,95.55,42.525,19.85,4.27743764
modelo_n_0246.hjs,146.639,46.3325,278.85,8.325,10.59,1.636367295
modelo_n_0247.hjs,34.175,9.4825,262.05,46.625,18.53,11.81901171
modelo_n_0248.hjs,13.583,47.8725,282.45,36.325,25.53,7.677441207
modelo_n_0249.hjs,124.661,39.7875,157.35,11.925,26.21,0.7288767
modelo_n_0250.hjs,145.847,34.7825,199.95,19.675,13.33,1.51861495
modelo_n_0251.hjs,40.313,30.1625,261.45,25.825,19.65,3.637519553
modelo_n_0252.hjs,78.725,6.2375,14.55,41.975,19.39,8.656329961
modelo_n_0253.hjs,124.265,29.0625,20.85,11.075,13.13,0.549624954
modelo_n_0254.hjs,21.503,16.7975,225.75,37.275,23.93,6.965618558
modelo_n_0255.hjs,188.417,36.2125,49.35,31.275,13.01,1.191726131
modelo_n_0256.hjs,157.727,59.9175,265.65,6.675,22.51,0.868696951
modelo_n_0257.hjs,3.485,14.4325,28.35,10.825,23.81,3.763329004
modelo_n_0258.hjs,94.367,34.2875,299.25,7.975,14.45,1.844838596
modelo_n_0259.hjs,148.223,39.1825,162.15,15.225,26.23,0.792561522
modelo_n_0260.hjs,140.105,23.8375,179.25,34.525,24.75,2.373259239
modelo_n_0261.hjs,44.867,29.9425,221.25,8.275,26.81,1.691893893
modelo_n_0262.hjs,118.325,20.0425,171.75,25.775,25.85,2.147022514
modelo_n_0263.hjs,178.913,7.7225,170.55,42.925,24.21,7.903770187
modelo_n_0264.hjs,144.857,18.7775,195.15,18.475,14.61,2.068967078
modelo_n_0265.hjs,108.821,9.3175,203.25,49.575,25.57,8.775910491
modelo_n_0266.hjs,31.799,40.0625,251.25,3.775,10.67,5.665402716
modelo_n_0267.hjs,86.051,55.9575,198.75,13.725,29.05,0.900018721
modelo_n_0268.hjs,73.775,32.4725,79.65,14.175,17.59,1.031907805
modelo_n_0269.hjs,114.761,22.5175,138.45,41.525,12.41,3.527011831
modelo_n_0270.hjs,9.227,34.5075,245.85,22.125,29.55,7.158742398
modelo_n_0271.hjs,101.693,43.9675,67.05,24.225,17.03,0.952629962
modelo_n_0272.hjs,153.569,51.1725,76.35,1.325,13.39,0.356366287
modelo_n_0273.hjs,82.289,8.3825,192.45,13.925,17.81,3.456183802
modelo_n_0274.hjs,164.063,19.7675,182.55,49.175,10.77,4.854482462
modelo_n_0275.hjs,25.463,37.2575,220.65,15.375,12.07,5.685376954
